id,Year,Month,Date,Storage,Presentage,Power,Energy,Outlet,Spill,Inflow,Rainfall,Elevation
0,1995,1,1,709.46,98.26,12.04,0.21,0,0,9.88,0,5
1,1995,1,2,707.3,97.96,10.56,0.19,0,0,8.4,0,5
2,1995,1,3,705.14,97.66,6.83,3.14,0,0,4.91,0,5
3,1995,1,4,703.22,97.4,7.14,3.22,0,0,4.92,0,5
4,1995,1,5,701,97.09,8.59,4.21,0,0,3.03,0,5
5,1995,1,6,695.44,96.32,8.28,4,0,0,3.72,7.7,4
6,1995,1,7,690.88,95.69,7.59,3.61,0,0,4.59,0,4
7,1995,1,8,687.88,95.27,6.19,2.71,0,0,4.65,1.5,4
8,1995,1,9,686.34,95.06,7.51,3.54,0,0,6.03,3.2,4
9,1995,1,10,684.86,94.86,7.03,3.27,0,0,8.51,13.2,4
10,1995,1,11,686.34,95.06,7.19,3.34,0,0,7.49,12.8,4
11,1995,1,12,686.64,95.1,7.52,3.56,0,0,3.7,0,4
12,1995,1,13,682.82,94.57,7.01,3.24,0,0,3.25,0,4
13,1995,1,14,679.06,94.05,7,3.25,0,0,2.76,0,4
14,1995,1,15,674.82,93.47,6.42,2.85,0,0,2.61,0,4
15,1995,1,16,671.01,92.94,4.53,1.62,0,0,3.41,0,4
16,1995,1,17,669.89,92.78,7.02,3.23,0,0,2.35,0,4
17,1995,1,18,665.22,92.14,6.69,3.02,0,0,2.68,1.3,4
18,1995,1,19,661.21,91.58,6.36,2.8,0,0,3.44,5.1,4
19,1995,1,20,658.29,91.18,5.98,2.6,0,0,3.22,56.8,4
20,1995,1,21,655.53,90.79,4.65,1.75,0,0,10.63,7.5,4
21,1995,1,22,661.51,91.62,4.57,1.6,0,0,4.57,0,4
22,1995,1,23,661.51,91.62,6.09,2.63,0,0,3.33,0,4
23,1995,1,24,658.75,91.24,5.08,2.06,0,0,3.01,0,4
24,1995,1,25,656.68,90.95,5.46,2.34,0,0,2.47,0,4
25,1995,1,26,653.69,90.54,5.89,2.57,0,0,2.54,0,4
26,1995,1,27,650.34,90.07,7.34,3.41,0,0,2.42,0,4
27,1995,1,28,645.42,89.39,5.43,2.16,0,0,2.5,0,4
28,1995,1,29,642.49,88.99,4.94,1.86,0,0,2.71,40,4
29,1995,1,30,640.26,88.68,6.69,3.07,0,0,12.73,20.5,4
30,1995,1,31,646.3,89.52,6.31,2.8,0,0,4.55,4.2,4
31,1995,2,1,644.54,89.27,6.83,3.17,0,0,3.87,10.5,4
32,1995,2,2,641.58,88.86,6.82,3.12,0,0,6.82,13.8,4
33,1995,2,3,641.58,88.86,5.6,2.23,0,0,5.6,7.7,4
34,1995,2,4,641.58,88.86,4.26,1.38,0,0,4.94,5.7,4
35,1995,2,5,642.26,88.96,5.68,2.28,0,0,6.14,7.8,4
36,1995,2,6,642.72,89.02,6.77,3.14,0,0,4.09,3.5,4
37,1995,2,7,640.04,88.65,5.97,2.55,0,0,5.53,0,4
38,1995,2,8,639.6,88.59,5.96,2.95,0,0,3.76,0,4
39,1995,2,9,637.4,88.28,4.99,2.42,0,0,3.45,0,4
40,1995,2,10,635.86,88.07,5.04,2.39,0,0,4.58,0,4
41,1995,2,11,635.4,88.01,4.99,2.37,0,0,2.25,0,4
42,1995,2,12,632.66,87.63,4.17,1.88,0,0,2.41,0,4
43,1995,2,13,630.9,87.38,5.46,2.6,0,0,3.26,0,4
44,1995,2,14,628.7,87.08,3.69,1.42,0,0,5.89,19.3,4
45,1995,2,15,630.9,87.38,5.35,2.62,0,0,6.45,0,4
46,1995,2,16,632,87.53,5.09,2.46,0,0,4.65,0,4
47,1995,2,17,631.56,87.47,4.58,2.13,0,0,8.42,3.2,4
48,1995,2,18,635.4,88.01,4.62,2.15,0,0,5.52,0,4
49,1995,2,19,636.3,88.13,5.06,2.43,0,0,3.12,0,4
50,1995,2,20,634.36,87.86,4.82,2.27,0,0,3.12,0,4
51,1995,2,21,632.66,87.63,4.29,1.89,0,0,3.19,0,4
52,1995,2,22,631.56,87.47,4.72,2.42,0,0,2.74,0,4
53,1995,2,23,629.58,87.2,5.19,2.5,0,0,1.66,0,4
54,1995,2,24,626.05,86.71,4.75,2.17,0,0,2,0,4
55,1995,2,25,623.3,86.33,4.87,2.29,0,0,1.87,0,4
56,1995,2,26,620.3,85.91,4.63,2.14,0,0,2.02,0,4
57,1995,2,27,617.69,85.55,5.23,2.54,0,0,1.36,0,4
59,1995,3,1,610.45,84.55,4.84,2.29,0,0,1.55,0,4
60,1995,3,2,607.09,84.08,5.54,2.73,0,0,1.01,0,4
61,1995,3,3,603.1,83.53,5.63,2.75,0,0,1.3,0,4
62,1995,3,4,598.48,82.89,4.78,2.3,0,0,1.47,0,4
63,1995,3,5,595,82.41,4.19,1.84,0,0,1.19,0,4
64,1995,3,6,592.28,82.03,5.29,2.58,0,0,1.29,0,4
65,1995,3,7,588.18,81.47,4.68,2.25,0,0,1.16,0,4
66,1995,3,8,584.79,81,5.75,2.86,0,0,2.14,0,4
67,1995,3,9,580.2,80.36,6.24,3.14,0,0,4.75,1,4
68,1995,3,10,576.1,79.79,4.95,2.51,0,0,3.28,9,4
69,1995,3,11,575.9,79.76,4.88,2.29,0,0,1.6,0,4
70,1995,3,12,574.3,79.54,4,1.8,0,0,1.04,0,4
71,1995,3,13,571.9,79.21,5.84,2.9,0,0,1.11,0,4
72,1995,3,14,567.1,78.55,6.11,3.05,0,0,1.63,0,4
73,1995,3,15,562.1,77.85,6.53,3.28,0,0,0.9,0,4
74,1995,3,16,557.2,77.17,5.03,2.44,0,0,1.22,0,4
75,1995,3,17,553.07,76.6,5.69,2.83,0,0,1.55,0,4
76,1995,3,18,548.6,75.98,6.25,3.11,0,0,1.12,0,4
77,1995,3,19,543.9,75.33,5.42,2.61,0,0,1.2,0,3
78,1995,3,20,539.6,74.74,6.37,3.17,0,0,1.18,0,3
